,active_id,passive_id,active_reliability,passive_reliability,passive_opinion,accepted,result,total_payout
251,94,97,0.21760921854345086,0.27930974640197764,0.45,True,False,-246
252,89,97,0.02184433110882209,0.27930974640197764,0.45,False,0,-246
253,26,97,0.1915171500802981,0.27930974640197764,0.45,True,False,-248
254,6,97,0.397418430055701,0.27930974640197764,0.55,True,True,-246
255,29,19,0.18510142435376284,0.3235309974837251,0.45,True,False,-248
256,14,19,0.07215779684031474,0.3235309974837251,0.45,True,False,-250
257,12,19,0.04605435109965876,0.3235309974837251,0.45,True,False,-252
258,74,19,0.2465211816850676,0.3235309974837251,0.45,True,False,-254
259,39,19,0.5767489615566488,0.3235309974837251,0.55,True,True,-252
260,18,92,0.3676032568049543,0.33597361467621856,0.45,True,False,-254
261,23,92,0.18098490676782394,0.33597361467621856,0.55,True,True,-252
262,17,37,0.0715259247353508,0.2729790163817136,0.45,True,False,-254
263,86,37,0.08977317136487191,0.2729790163817136,0.45,True,False,-256
264,23,37,0.18098490676782394,0.2729790163817136,0.45,True,False,-258
265,7,37,0.01306887440669658,0.2729790163817136,0.45,True,False,-260
266,45,37,0.27137112135451447,0.2729790163817136,0.45,True,False,-262
267,85,37,0.20808647707310848,0.2729790163817136,0.55,True,True,-260
268,95,11,0.07403668965687367,0.20466078519771896,0.45,True,False,-262
269,26,11,0.1915171500802981,0.20466078519771896,0.45,True,False,-264
270,44,11,0.0917857315810013,0.20466078519771896,0.45,True,False,-266
271,94,11,0.21760921854345086,0.20466078519771896,0.45,True,False,-268
272,7,11,0.01306887440669658,0.20466078519771896,0.45,True,False,-270
273,45,11,0.27137112135451447,0.20466078519771896,0.45,True,False,-272
274,17,11,0.0715259247353508,0.20466078519771896,0.45,True,False,-274
275,46,11,0.2656788034302826,0.20466078519771896,0.55,True,True,-272
276,16,70,0.10959695212325071,0.4639247092269356,0.45,True,False,-274
277,94,70,0.21760921854345086,0.4639247092269356,0.45,True,False,-276
278,29,70,0.18510142435376284,0.4639247092269356,0.45,True,False,-278
279,43,70,0.2644433470212973,0.4639247092269356,0.55,True,True,-276
280,74,22,0.2465211816850676,0.21529916340404484,0.45,True,False,-278
281,56,22,0.13381483351988205,0.21529916340404484,0.45,True,False,-280
282,87,22,0.09825721243537704,0.21529916340404484,0.45,True,False,-282
283,76,22,0.018556183176972576,0.21529916340404484,0.45,True,False,-284
284,91,22,0.20724611653396197,0.21529916340404484,0.45,True,False,-286
285,41,22,0.13129517389033954,0.21529916340404484,0.55,True,True,-284
286,33,39,0.37210616419905607,0.5767489615566488,0.45,True,False,-286
287,97,39,0.27930974640197764,0.5767489615566488,0.55,True,True,-284
288,69,42,0.12228094017780754,0.056370149726430105,0.45,True,False,-286
289,84,42,0.17358421388349046,0.056370149726430105,0.45,True,False,-288
290,20,42,0.2513023537983098,0.056370149726430105,0.55,True,True,-286
291,54,16,0.0499960665023691,0.10959695212325071,0.45,True,False,-288
292,96,16,0.3387459817477528,0.10959695212325071,0.55,True,True,-286
293,8,57,0.05545878585874701,0.12939138727075236,0.45,True,False,-288
294,45,57,0.27137112135451447,0.12939138727075236,0.45,True,False,-290
295,5,57,0.380247665444812,0.12939138727075236,0.55,True,True,-288
296,99,0,0.32135289474574885,0.5104380870682323,0.55,True,True,-286
297,11,93,0.20466078519771896,0.03947820664791013,0.45,True,False,-288
298,4,93,0.26749569897692954,0.03947820664791013,0.45,True,False,-290
299,33,93,0.37210616419905607,0.03947820664791013,0.55,True,True,-288
300,31,67,0.0046912960998865,0.4522640039290227,0.45,True,False,-290
301,55,67,0.16580560462302538,0.4522640039290227,0.45,True,False,-292
302,88,67,0.12408063373333265,0.4522640039290227,0.45,True,False,-294
303,95,67,0.07403668965687367,0.4522640039290227,0.45,True,False,-296
304,35,67,0.24958375678392714,0.4522640039290227,0.45,True,False,-298
305,68,67,0.054684748553290495,0.4522640039290227,0.45,True,False,-300
306,95,67,0.07403668965687367,0.4522640039290227,0.45,False,0,-300
307,20,67,0.2513023537983098,0.4522640039290227,0.45,True,False,-302
308,55,67,0.16580560462302538,0.4522640039290227,0.45,False,0,-302
309,16,67,0.10959695212325071,0.4522640039290227,0.45,True,False,-304
310,59,67,0.43347669468567157,0.4522640039290227,0.45,True,False,-306
311,55,67,0.16580560462302538,0.4522640039290227,0.45,False,0,-306
312,33,67,0.37210616419905607,0.4522640039290227,0.45,True,False,-308
313,18,67,0.3676032568049543,0.4522640039290227,0.45,True,False,-310
314,33,67,0.37210616419905607,0.4522640039290227,0.45,False,0,-310
315,86,67,0.08977317136487191,0.4522640039290227,0.45,True,False,-312
316,76,67,0.018556183176972576,0.4522640039290227,0.45,True,False,-314
317,29,67,0.18510142435376284,0.4522640039290227,0.45,True,False,-316
318,43,67,0.2644433470212973,0.4522640039290227,0.45,True,False,-318
319,31,67,0.0046912960998865,0.4522640039290227,0.45,False,0,-318
320,61,67,0.1082631002709324,0.4522640039290227,0.45,True,False,-320
321,12,67,0.04605435109965876,0.4522640039290227,0.45,True,False,-322
322,33,67,0.37210616419905607,0.4522640039290227,0.45,False,0,-322
323,69,67,0.12228094017780754,0.4522640039290227,0.55,True,True,-320
324,89,26,0.02184433110882209,0.1915171500802981,0.45,True,False,-322
325,27,26,0.16320017200550951,0.1915171500802981,0.45,True,False,-324
326,96,26,0.3387459817477528,0.1915171500802981,0.45,True,False,-326
327,74,26,0.2465211816850676,0.1915171500802981,0.55,True,True,-324
328,87,76,0.09825721243537704,0.018556183176972576,0.45,True,False,-326
